model,term,coef,se,z,p,OR,OR_ci_lo,OR_ci_hi
sodium (a) ordinal strictness,Intercept,-1.1892,0.1638,-7.2582,0.0,0.3045,0.2208,0.4198
sodium (a) ordinal strictness,"C(meta_group, Treatment('Trusted'))[T.Inferred]",0.0389,0.1996,0.1948,0.8456,1.0396,0.7031,1.5373
sodium (a) ordinal strictness,"C(meta_group, Treatment('Trusted'))[T.Other]",0.4558,0.185,2.4641,0.0137,1.5774,1.0977,2.2667
sodium (a) ordinal strictness,strictness_ord,0.1862,0.0461,4.0426,0.0001,1.2047,1.1007,1.3186
sodium (a) ordinal strictness,"C(meta_group, Treatment('Trusted'))[T.Inferred]:strictness_ord",-0.0407,0.0543,-0.7486,0.4541,0.9601,0.8631,1.068
sodium (a) ordinal strictness,"C(meta_group, Treatment('Trusted'))[T.Other]:strictness_ord",0.0654,0.0537,1.2185,0.223,1.0676,0.961,1.186
sodium (b) country categorical,Intercept,-1.1417,0.158,-7.2262,0.0,0.3193,0.2343,0.4352
sodium (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Inferred]",0.0247,0.1931,0.1281,0.8981,1.025,0.7021,1.4966
sodium (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Other]",0.4555,0.1785,2.5509,0.0107,1.5769,1.1113,2.2376
sodium (b) country categorical,"C(country_code, Treatment('EU'))[T.CODEX]",0.3652,0.0885,4.1259,0.0,1.4408,1.2113,1.7137
sodium (b) country categorical,"C(country_code, Treatment('EU'))[T.US]",0.0492,0.0347,1.4186,0.156,1.0504,0.9814,1.1242
sodium (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Inferred]:C(country_code, Treatment('EU'))[T.CODEX]",-0.0782,0.1047,-0.7463,0.4555,0.9248,0.7532,1.1355
sodium (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Other]:C(country_code, Treatment('EU'))[T.CODEX]",0.1331,0.1037,1.2843,0.199,1.1424,0.9324,1.3997
sodium (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Inferred]:C(country_code, Treatment('EU'))[T.US]",-0.0006,0.0423,-0.0142,0.9887,0.9994,0.9199,1.0857
sodium (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Other]:C(country_code, Treatment('EU'))[T.US]",0.066,0.0443,1.489,0.1365,1.0682,0.9793,1.1651
saturated_fat (a) ordinal strictness,Intercept,-0.1724,0.1352,-1.2754,0.2022,0.8417,0.6458,1.0969
saturated_fat (a) ordinal strictness,"C(meta_group, Treatment('Trusted'))[T.Inferred]",-0.3147,0.1628,-1.9326,0.0533,0.73,0.5305,1.0045
saturated_fat (a) ordinal strictness,"C(meta_group, Treatment('Trusted'))[T.Other]",-0.5723,0.1558,-3.6732,0.0002,0.5642,0.4158,0.7657
saturated_fat (a) ordinal strictness,strictness_ord,0.0,0.0,0.0,1.0,1.0,1.0,1.0
saturated_fat (a) ordinal strictness,"C(meta_group, Treatment('Trusted'))[T.Inferred]:strictness_ord",-0.0,0.0,-0.0,1.0,1.0,1.0,1.0
saturated_fat (a) ordinal strictness,"C(meta_group, Treatment('Trusted'))[T.Other]:strictness_ord",-0.0,,,,1.0,,
saturated_fat (b) country categorical,Intercept,-0.1724,0.1352,-1.2749,0.2023,0.8417,0.6457,1.097
saturated_fat (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Inferred]",-0.3147,0.1629,-1.9319,0.0534,0.73,0.5305,1.0046
saturated_fat (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Other]",-0.5723,0.1558,-3.6719,0.0002,0.5642,0.4157,0.7658
saturated_fat (b) country categorical,"C(country_code, Treatment('EU'))[T.CODEX]",0.0,0.0,0.0,1.0,1.0,1.0,1.0
saturated_fat (b) country categorical,"C(country_code, Treatment('EU'))[T.US]",0.0,0.0,0.0,1.0,1.0,1.0,1.0
saturated_fat (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Inferred]:C(country_code, Treatment('EU'))[T.CODEX]",0.0,0.0,0.0,1.0,1.0,1.0,1.0
saturated_fat (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Other]:C(country_code, Treatment('EU'))[T.CODEX]",-0.0,0.0,-0.0,1.0,1.0,1.0,1.0
saturated_fat (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Inferred]:C(country_code, Treatment('EU'))[T.US]",-0.0,0.0,-0.0,1.0,1.0,1.0,1.0
saturated_fat (b) country categorical,"C(meta_group, Treatment('Trusted'))[T.Other]:C(country_code, Treatment('EU'))[T.US]",-0.0,0.0,-0.0,1.0,1.0,1.0,1.0
